Ano,Trimestre,Categoria,Tipo,CNPJ,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
2021,1º,Grupo Secundário,Banco/financeira,36321990.0,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,3,3,0,6,420692,129,420563,
2021,1º,Grupo Secundário,Banco/financeira,27214112.0,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,0,2,12645,4979,10112,
2021,1º,Grupo Secundário,Banco/financeira,3532415.0,BANCO ABN AMRO S.A., ,0,0,3,3,98,71,31,
2021,1º,Grupo Secundário,Banco/financeira,54403563.0,BANCO ARBI S.A., ,1,0,0,1,18087,9312,8838,
2021,1º,Grupo Secundário,Banco/financeira,2992446.0,BANCO CNH INDUSTRIAL CAPITAL S.A., ,0,1,2,3,28352,1238,27399,
2021,1º,Grupo Secundário,Banco/financeira,8357240.0,BANCO CSF S.A.,"22,53",165,94,51,310,7322283, ,7322283,
2021,1º,Grupo Secundário,Banco/financeira,4902979.0,BANCO DA AMAZONIA S.A., ,4,1,7,12,540684,459756,194221,
2021,1º,Grupo Secundário,Banco/financeira,10690848.0,BANCO DA CHINA BRASIL S.A., ,0,1,0,1,469,452,32,
2021,1º,Grupo Secundário,Banco/financeira,5040481.0,BANCO DE LAGE LANDEN BRASIL S.A., ,0,1,0,1,36713,3,36711,
2021,1º,Grupo Secundário,Banco/financeira,92874270.0,BANCO DIGIMAIS S.A.,"484,31",143,36,54,233,295260,168966,177621,
2021,1º,Grupo Secundário,Banco/financeira,27098060.0,BANCO DIGIO S.A.,"25,71",40,100,64,204,1555646,594244,1515429,
2021,1º,Grupo Secundário,Banco/financeira,13009717.0,BANCO DO ESTADO DE SERGIPE S.A., ,11,25,9,45,1066464,834281,599884,
2021,1º,Grupo Secundário,Banco/financeira,4913711.0,BANCO DO ESTADO DO PARÁ S.A.,"46,20",39,10,12,61,844056,758236,347013,
2021,1º,Grupo Secundário,Banco/financeira,7237373.0,BANCO DO NORDESTE DO BRASIL S.A., ,19,8,20,47,8512373,7928582,3161435,
2021,1º,Grupo Secundário,Banco/financeira,58616418.0,BANCO FIBRA S.A., ,1,2,2,5,163619,3832,160325,
2021,1º,Grupo Secundário,Banco/financeira,62237425.0,BANCO FIDIS S/A, ,0,2,0,2,6907,185,6739,
2021,1º,Grupo Secundário,Banco/financeira,4866275.0,BANCO INBURSA S.A., ,1,5,1,7,12367,12,12357,
2021,1º,Grupo Secundário,Banco/financeira,91884981.0,BANCO JOHN DEERE S.A., ,0,1,0,1,15036,254,14848,
2021,1º,Grupo Secundário,Banco/financeira,59118133.0,BANCO LUSO BRASILEIRO S.A., ,0,1,0,1,10071,4711,5719,
2021,1º,Grupo Secundário,Banco/financeira,78632767.0,BANCO OURINVEST S.A., ,0,1,0,1,42561,40252,2342,
2021,1º,Grupo Secundário,Banco/financeira,61820817.0,BANCO PAULISTA S.A., ,0,0,1,1,26002,7898,18366,
2021,1º,Grupo Secundário,Banco/financeira,795423.0,BANCO SEMEAR S.A., ,4,0,1,5,290731,2996,287950,
2021,1º,Grupo Secundário,Banco/financeira,11970623.0,BANCO SENFF S.A., ,8,12,2,22,77251,106,77156,
2021,1º,Grupo Secundário,Banco/financeira,7679404.0,BANCO TOPÁZIO S.A., ,1,4,1,6,35261,16292,21125,
2021,1º,Grupo Secundário,Banco/financeira,3215790.0,BANCO TOYOTA DO BRASIL S.A., ,0,0,1,1,164435,15283,150113,
2021,1º,Grupo Secundário,Banco/financeira,17351180.0,BANCO TRIANGULO S.A., ,3,8,16,27,1953437,248674,1790932,
2021,1º,Grupo Secundário,Banco/financeira,57839805.0,BANCO TRICURY S.A., ,0,1,1,2,685,666,149,
2021,1º,Grupo Secundário,Banco/financeira,9313766.0,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,2,1,4,71736,65584,11640,
2021,1º,Grupo Secundário,Banco/financeira,62331228.0,DEUTSCHE BANK S.A. - BANCO ALEMAO, ,0,1,0,1,2112,2093,164,
2021,1º,Grupo Secundário,Banco/financeira,15581638.0,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"620,55",70,151,3,224,112802,664,112141,
2021,1º,Grupo Secundário,Banco/financeira,411939.0,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,2,3,5,87041,1715,85381,
2021,1º,Grupo Secundário,Banco/financeira,4230630.0,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO", ,2,2,3,7,49879, ,49879,
2021,1º,Grupo Secundário,Banco/financeira,11271860.0,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,0,0,1,4,4, ,
2021,1º,Top 10,Banco/financeira,9464032.0,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","2,77",30,91,50,171,10797493,208,10797426,
2021,1º,Grupo Secundário,Banco/financeira,74828799.0,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO, ,11,22,0,33,91784,3074,89140,
2021,1º,Grupo Secundário,Banco/financeira,3311443.0,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,6,3,0,9,3843,0,3843,
2021,1º,Grupo Secundário,Banco/financeira,43180355.0,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","12,90",81,36,16,133,6279057,5846351,2878477,
2021,1º,Grupo Secundário,Banco/financeira,1800019.0,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,29,43,15,87,228987,3382,225607,
2021,1º,Grupo Secundário,Banco/financeira,27351731.0,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,6,31,22,59,4979229,45,4979205,
2021,1º,Grupo Secundário,Banco/financeira,5503849.0,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,0,2,29195,1250,27947,
2021,1º,Grupo Secundário,Banco/financeira,122327.0,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS", ,1,2,0,3,14370,634,13736,
2021,1º,Grupo Secundário,Banco/financeira,7747410.0,"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,4,2,8,853173, ,853173,
2021,1º,Grupo Secundário,Banco/financeira,3881423.0,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,5,6,3398,1813,1585,
2021,1º,Grupo Secundário,Banco/financeira,5192316.0,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS", ,0,2,2,4,412934,1008,411929,
2021,1º,Grupo Secundário,Banco/financeira,23862762.0,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,16,15,17,48,1548186,1546806,314656,
2021,2º,Demais bancos e financeiras,Banco/financeira,36321990.0,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,4,1,7,433738,130,433608,
2021,2º,Demais bancos e financeiras,Banco/financeira,27214112.0,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,1,3,15074,6675,11288,
2021,2º,Demais bancos e financeiras,Banco/financeira,3532415.0,BANCO ABN AMRO S.A., ,0,0,1,1,76,54,23,
2021,2º,Demais bancos e financeiras,Banco/financeira,54403563.0,BANCO ARBI S.A., ,6,3,2,11,19525,11177,8411,
2021,2º,Demais bancos e financeiras,Banco/financeira,15173776.0,BANCO CAPITAL S.A., ,0,1,0,1,1354,1312,124,
2021,2º,Demais bancos e financeiras,Banco/financeira,2992446.0,BANCO CNH INDUSTRIAL CAPITAL S.A., ,0,0,1,1,27828,1237,26867,
2021,2º,Demais bancos e financeiras,Banco/financeira,8357240.0,BANCO CSF S.A.,"26,30",192,93,73,358,7297674, ,7297674,
2021,2º,Demais bancos e financeiras,Banco/financeira,4902979.0,BANCO DA AMAZONIA S.A., ,2,6,12,20,548402,468836,194802,
2021,2º,Demais bancos e financeiras,Banco/financeira,5040481.0,BANCO DE LAGE LANDEN BRASIL S.A., ,0,0,1,1,36294,3,36292,
2021,2º,Demais bancos e financeiras,Banco/financeira,92874270.0,BANCO DIGIMAIS S.A.,"212,14",79,23,26,128,372393,238155,195709,
2021,2º,Demais bancos e financeiras,Banco/financeira,27098060.0,BANCO DIGIO S.A.,"18,73",30,64,41,135,1601177,827359,1355127,
2021,2º,Demais bancos e financeiras,Banco/financeira,13009717.0,BANCO DO ESTADO DE SERGIPE S.A., ,18,20,14,52,1074923,837994,605860,
2021,2º,Demais bancos e financeiras,Banco/financeira,4913711.0,BANCO DO ESTADO DO PARÁ S.A.,"33,77",30,23,15,68,888326,764874,396722,
2021,2º,Demais bancos e financeiras,Banco/financeira,7237373.0,BANCO DO NORDESTE DO BRASIL S.A., ,27,23,30,80,8679633,8095479,3223472,
2021,2º,Demais bancos e financeiras,Banco/financeira,58616418.0,BANCO FIBRA S.A., ,0,2,3,5,163669,4032,160187,
2021,2º,Demais bancos e financeiras,Banco/financeira,62237425.0,BANCO FIDIS S/A, ,0,2,0,2,5972,183,5807,
2021,2º,Demais bancos e financeiras,Banco/financeira,90731688.0,BANCO FORD S.A., ,0,1,1,2,341,147,205,
2021,2º,Demais bancos e financeiras,Banco/financeira,4866275.0,BANCO INBURSA S.A., ,3,1,3,7,12478,11,12467,
2021,2º,Demais bancos e financeiras,Banco/financeira,91884981.0,BANCO JOHN DEERE S.A., ,1,1,0,2,14199,254,14008,
2021,2º,Demais bancos e financeiras,Banco/financeira,59118133.0,BANCO LUSO BRASILEIRO S.A., ,1,0,0,1,9668,4682,5351,
2021,2º,Demais bancos e financeiras,Banco/financeira,78632767.0,BANCO OURINVEST S.A., ,0,2,0,2,44303,41822,2504,
2021,2º,Demais bancos e financeiras,Banco/financeira,61820817.0,BANCO PAULISTA S.A., ,0,0,2,2,27172,7769,19666,
2021,2º,Demais bancos e financeiras,Banco/financeira,795423.0,BANCO SEMEAR S.A., ,3,4,2,9,282882,3185,279988,
2021,2º,Demais bancos e financeiras,Banco/financeira,11970623.0,BANCO SENFF S.A., ,4,12,4,20,89047,15993,73551,
2021,2º,Demais bancos e financeiras,Banco/financeira,60518222.0,BANCO SUMITOMO MITSUI BRASILEIRO S.A., ,0,0,1,1,1063,1023,126,
2021,2º,Demais bancos e financeiras,Banco/financeira,7679404.0,BANCO TOPÁZIO S.A., ,6,3,1,10,36623,15733,22906,
2021,2º,Demais bancos e financeiras,Banco/financeira,3215790.0,BANCO TOYOTA DO BRASIL S.A., ,4,1,8,13,159896,15262,145562,
2021,2º,Demais bancos e financeiras,Banco/financeira,17351180.0,BANCO TRIANGULO S.A., ,15,3,10,28,1995911,293864,1829315,
2021,2º,Demais bancos e financeiras,Banco/financeira,20443996.0,"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,0,1,1,119246,8,119241,
2021,2º,Demais bancos e financeiras,Banco/financeira,9313766.0,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,3,5,10,75187,69362,11217,
2021,2º,Demais bancos e financeiras,Banco/financeira,15581638.0,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"555,73",89,269,19,377,160147,667,159483,
2021,2º,Demais bancos e financeiras,Banco/financeira,36583700.0,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,0,2,3,5554, ,5554,
2021,2º,Demais bancos e financeiras,Banco/financeira,411939.0,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,2,4,6,85499,1689,83865,
2021,2º,Demais bancos e financeiras,Banco/financeira,4230630.0,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO", ,2,4,8,14,51049, ,51049,
2021,2º,Demais bancos e financeiras,Banco/financeira,11271860.0,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,0,0,2,248335,4,248331,
2021,2º,Demais bancos e financeiras,Banco/financeira,7747410.0,M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO, ,3,0,4,7,565126, ,565126,
2021,2º,Top 10 - Bancos e Financeiras,Banco/financeira,9464032.0,"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","2,45",26,78,57,161,10604729,15784,10597182,
2021,2º,Demais bancos e financeiras,Banco/financeira,4379829.0,"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS", ,0,2,1,3,427479,675,426804,
2021,2º,Demais bancos e financeiras,Banco/financeira,74828799.0,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO, ,13,51,0,64,94773,3107,92103,
2021,2º,Demais bancos e financeiras,Banco/financeira,3311443.0,"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,28,9,2,39,1616, ,1616,
2021,2º,Demais bancos e financeiras,Banco/financeira,43180355.0,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","17,46",115,50,27,192,6583040,6167980,2911088,
2021,2º,Demais bancos e financeiras,Banco/financeira,1800019.0,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,29,39,17,85,226210,3382,222831,
2021,2º,Demais bancos e financeiras,Banco/financeira,27351731.0,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,26,49,28,103,4814788,48,4814765,
2021,2º,Demais bancos e financeiras,Banco/financeira,5503849.0,"SANTANA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,2,2,4,29406,1253,28155,
2021,2º,Demais bancos e financeiras,Banco/financeira,3881423.0,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,5,9,15,1992,467,1525,
2021,2º,Demais bancos e financeiras,Banco/financeira,5192316.0,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS", ,1,3,2,6,407511,1010,406505,
2021,2º,Demais bancos e financeiras,Banco/financeira,23862762.0,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","26,70",46,9,16,71,1722341,1721730,406890,
2021,3º,Demais bancos e financeiras,Banco/financeira,36321990.0,"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,3,1,2,6,453405,130,453275,
2021,3º,Demais bancos e financeiras,Banco/financeira,27214112.0,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,4,0,6,10,18217,9981,11683,
2021,3º,Demais bancos e financeiras,Banco/financeira,3532415.0,BANCO ABN AMRO S.A., ,0,0,1,1,41,41,1,
2021,3º,Demais bancos e financeiras,Banco/financeira,54403563.0,BANCO ARBI S.A., ,1,9,1,11,28673,20319,8520,
2021,3º,Demais bancos e financeiras,Banco/financeira,33132044.0,BANCO CEDULA S.A., ,0,1,0,1,18022,2815,15434,
2021,3º,Demais bancos e financeiras,Banco/financeira,2992446.0,BANCO CNH INDUSTRIAL CAPITAL S.A., ,0,0,1,1,28309,1234,27347,
2021,3º,Demais bancos e financeiras,Banco/financeira,8357240.0,BANCO CSF S.A.,"14,94",111,89,59,259,7425297, ,7425297,
2021,3º,Demais bancos e financeiras,Banco/financeira,4902979.0,BANCO DA AMAZONIA S.A., ,2,4,8,14,551874,473802,194373,
2021,3º,Demais bancos e financeiras,Banco/financeira,10690848.0,BANCO DA CHINA BRASIL S.A., ,1,0,0,1,481,457,39,
2021,3º,Demais bancos e financeiras,Banco/financeira,33042151.0,BANCO DE LA NACION ARGENTINA, ,0,1,0,1,256,244,21,
2021,3º,Demais bancos e financeiras,Banco/financeira,92874270.0,BANCO DIGIMAIS S.A.,"258,94",102,28,34,164,393906,266246,192853,
2021,3º,Demais bancos e financeiras,Banco/financeira,27098060.0,BANCO DIGIO S.A.,"31,05",58,108,71,237,1867547,1096662,1553737,
2021,3º,Demais bancos e financeiras,Banco/financeira,13009717.0,BANCO DO ESTADO DE SERGIPE S.A., ,10,23,17,50,1082245,831407,621508,
2021,3º,Demais bancos e financeiras,Banco/financeira,4913711.0,BANCO DO ESTADO DO PARÁ S.A.,"42,87",39,23,23,85,909670,786497,405982,
2021,3º,Demais bancos e financeiras,Banco/financeira,7237373.0,BANCO DO NORDESTE DO BRASIL S.A., ,13,23,37,73,8844660,8261233,3268835,
2021,3º,Demais bancos e financeiras,Banco/financeira,58616418.0,BANCO FIBRA S.A., ,0,0,1,1,163670,4092,160152,
2021,3º,Demais bancos e financeiras,Banco/financeira,62237425.0,BANCO FIDIS S/A, ,0,7,4,11,4661,147,4533,
2021,3º,Demais bancos e financeiras,Banco/financeira,53518684.0,BANCO HSBC S.A., ,0,0,2,2,3087,3074,58,
2021,3º,Demais bancos e financeiras,Banco/financeira,4866275.0,BANCO INBURSA S.A., ,5,5,5,15,14726,9,14717,
2021,3º,Demais bancos e financeiras,Banco/financeira,78632767.0,BANCO OURINVEST S.A., ,5,2,0,7,50060,47319,2771,
2021,3º,Demais bancos e financeiras,Banco/financeira,61820817.0,BANCO PAULISTA S.A., ,1,0,2,3,28238,7793,20692,
2021,3º,Demais bancos e financeiras,Banco/financeira,795423.0,BANCO SEMEAR S.A., ,2,2,0,4,270979,3638,267795,
2021,3º,Demais bancos e financeiras,Banco/financeira,11970623.0,BANCO SENFF S.A., ,1,4,1,6,109166,40042,70102,
2021,3º,Demais bancos e financeiras,Banco/financeira,7679404.0,BANCO TOPÁZIO S.A., ,4,5,2,11,43686,15291,30304,
2021,3º,Demais bancos e financeiras,Banco/financeira,3215790.0,BANCO TOYOTA DO BRASIL S.A., ,1,4,3,8,155981,15264,141643,
2021,3º,Demais bancos e financeiras,Banco/financeira,17351180.0,BANCO TRIANGULO S.A., ,10,15,6,31,2025332,439855,1847196,
2021,3º,Demais bancos e financeiras,Banco/financeira,45283173.0,BBVA BRASIL BANCO DE INVESTIMENTO S.A., ,0,0,1,1,0,0,0,
2021,3º,Demais bancos e financeiras,Banco/financeira,11285104.0,"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,0,0,1,1,18321,251,18070,
2021,3º,Demais bancos e financeiras,Banco/financeira,12865507.0,"BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,0,1,1,6482,715,5970,
2021,3º,Demais bancos e financeiras,Banco/financeira,9313766.0,"CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,2,2,3,7,76719,70930,16272,
2021,3º,Demais bancos e financeiras,Banco/financeira,15581638.0,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"458,43",131,272,25,428,285752,681,285077,
2021,3º,Demais bancos e financeiras,Banco/financeira,36583700.0,"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,1,0,2,11153, ,11153,
2021,3º,Demais bancos e financeiras,Banco/financeira,411939.0,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,4,5,85526,1653,83930,
2021,3º,Demais bancos e financeiras,Banco/financeira,17453575.0,ICBC DO BRASIL BANCO MÚLTIPLO S.A., ,0,1,0,1,187,175,24,
2021,3º,Demais bancos e financeiras,Banco/financeira,4230630.0,"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0,6,1,7,52001, ,52001,
2021,3º,Demais bancos e financeiras,Banco/financeira,11271860.0,"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,1,2,0,3,249991,4,249987,
